run_id,status,result,dataset,model,embedding,n_Gain,n_Start,run,last_cycle
RASK_blosum50_linear_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,RASK,linear,blosum50,50,1000,3,11
YAP1_blosum90_rf_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,YAP1,rf,blosum90,10,1000,1,2
PHOT_blosum90_elastic_net_nGain20_nStart500_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,PHOT,elastic_net,blosum90,20,500,5,12
YAP1_georgiev_linear_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,YAP1,linear,georgiev,20,1000,6,11
GFP_one_hot_lightgbm_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,GFP,lightgbm,one_hot,20,100,10,14
GFP_georgiev_elastic_net_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,GFP,elastic_net,georgiev,100,200,3,2
RASK_georgiev_fnn_nGain10_nStart100_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,RASK,fnn,georgiev,10,100,9,10
RASK_one_hot_fnn_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,RASK,fnn,one_hot,50,500,5,11
PHOT_blosum90_rf_nGain50_nStart100_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,PHOT,rf,blosum90,50,100,6,25
YAP1_georgiev_linear_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,YAP1,linear,georgiev,10,200,10,1
RASK_one_hot_fnn_nGain20_nStart200_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,RASK,fnn,one_hot,20,200,4,20
PHOT_georgiev_fnn_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,PHOT,fnn,georgiev,50,1000,7,10
GFP_one_hot_lightgbm_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,GFP,lightgbm,one_hot,100,1000,2,1
GFP_blosum90_fnn_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,GFP,fnn,blosum90,20,3000,2,24
PHOT_blosum50_elastic_net_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,PHOT,elastic_net,blosum50,50,1000,4,11
RASK_blosum50_fnn_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,RASK,fnn,blosum50,20,100,10,5
YAP1_blosum90_elastic_net_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,YAP1,elastic_net,blosum90,10,200,9,15
RASK_georgiev_linear_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,RASK,linear,georgiev,10,1000,3,13
PHOT_one_hot_svr_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,PHOT,svr,one_hot,100,100,9,10
GFP_blosum50_fnn_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,GFP,fnn,blosum50,100,200,4,8
YAP1_blosum50_svr_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,running,open,YAP1,svr,blosum50,10,3000,8,8
RASK_blosum90_elastic_net_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,RASK,elastic_net,blosum90,50,500,10,1
RASK_blosum50_lightgbm_nGain20_nStart500_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,RASK,lightgbm,blosum50,20,500,3,15
RASK_blosum50_lightgbm_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,RASK,lightgbm,blosum50,50,200,2,12
YAP1_blosum90_elastic_net_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,YAP1,elastic_net,blosum90,10,3000,8,2
RASK_blosum50_linear_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,RASK,linear,blosum50,10,200,9,12
RASK_one_hot_elastic_net_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,RASK,elastic_net,one_hot,20,3000,2,8
GFP_georgiev_svr_nGain20_nStart200_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,GFP,svr,georgiev,20,200,6,9
YAP1_blosum50_linear_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,YAP1,linear,blosum50,50,200,10,4
GFP_georgiev_svr_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run7,finished,success,GFP,svr,georgiev,50,500,7,3
YAP1_blosum90_linear_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,YAP1,linear,blosum90,100,500,3,13
YAP1_one_hot_lightgbm_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,YAP1,lightgbm,one_hot,10,1000,3,2
RASK_one_hot_rf_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run10,running,open,RASK,rf,one_hot,100,1000,10,2
YAP1_one_hot_lightgbm_nGain50_nStart100_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,YAP1,lightgbm,one_hot,50,100,9,10
